Project,Report's URL,Sentence,Location Mentioned,"Admin 1
Division","Admin 2
District","Admin 3
Township",Admin 4
Myanmaar,https://reliefweb.int/sites/reliefweb.int/files/resources/Ref_Doc_Humanitarian_Needs_Overview_HCT_2017.pdf,"About 218,000 displaced people, of which 78 percent are women and children, remain in camps or camplike situations in Kachin, Shan and Rakhine. ","Kachin
",Kachin,,,
,,"About 218,000 displaced people, of which 78 percent are women and children, remain in camps or camplike situations in Kachin, Shan and Rakhine. ",Shan,Shan,,,
,,"About 218,000 displaced people, of which 78 percent are women and children, remain in camps or camplike situations in Kachin, Shan and Rakhine. ",Rakhine,Rakhine,,,
,,"This includes 87,000 people in Kachin and 11,000 in Shan whowere displaced as a result of the armed conflict that resumed in 2011 and that continues to displace people.","Kachin
",Kachin,,,
,,"This includes 87,000 people in Kachin and 11,000 in Shan whowere displaced as a result of the armed conflict that resumed in 2011 and that continues to displace people.",Shan,Shan,,,
,,"Approximately 218,000 people – of which 78 per cent are women and children – remain displaced
as a result of the armed conflict that resumed in Kachin and Shan in 2011 and the intercommunal
violence that started in Rakhine in 2012.",Kachin,Kachin,,,
,,"Approximately 218,000 people – of which 78 per cent are women and children – remain displaced
as a result of the armed conflict that resumed in Kachin and Shan in 2011 and the intercommunal
violence that started in Rakhine in 2012.",Shan,Shan,,,
,,"The Special Rapporteur on the situation of
human rights in Myanmar, for example, found that sexual violence was widespread in Kachin, northern Shan and Rakhine, as well as other areas of the country.",Kachin,Kachin,,,
,,Chin State has the highest rate of chronic malnutrition in the country (above WHO critical threshold) closely followed by Kayah and Rakhine States. ,Chin,Chin,,,
,,Chin State has the highest rate of chronic malnutrition in the country (above WHO critical threshold) closely followed by Kayah and Rakhine States. ,Kayah,Kayah,,,
,,Chin State has the highest rate of chronic malnutrition in the country (above WHO critical threshold) closely followed by Kayah and Rakhine States. ,Rakhine,Rakhine,,,
,,"Conflict in southern Shan State temporarily displaces around 6,000 people from Kyethi and
Monghsu townships",Shan,Shan,,,
,,"Conflict in southern Shan State temporarily displaces around 6,000 people from Kyethi and
Monghsu townships",Kyethi,Shan,Loilen,Kyethi,
,,"Conflict in southern Shan State temporarily displaces around 6,000 people from Kyethi and
Monghsu townships",Mongshu,Shan,Loilen,Mongshu,
,,"Floods temporarily displace about 500,000 thousand people in Magway, Mandalay,
Bago, Rakhine and Ayeyarwaddy",Magway,Magway,,,
,,"Floods temporarily displace about 500,000 thousand people in Magway, Mandalay,
Bago, Rakhine and Ayeyarwaddy",Madalay,Madalay,,,
,,"Floods temporarily displace about 500,000 thousand people in Magway, Mandalay,
Bago, Rakhine and Ayeyarwaddy",Bago,Bago,,,
,,"Floods temporarily displace about 500,000 thousand people in Magway, Mandalay,
Bago, Rakhine and Ayeyarwaddy",Rakhine,Rakhine,,,
,,"Floods temporarily displace about 500,000 thousand people in Magway, Mandalay,
Bago, Rakhine and Ayeyarwaddy",Ayeyarwaddy,Ayeyarwaddy,,,
,,"About 80,000 people displaced by conflict in Kokang SAZ (Shan State). Government declares
State of Emergency in Kokang SAZ.",Shan,Shan,,,
,,"About 80,000 people displaced by conflict in Kokang SAZ (Shan State). Government declares
State of Emergency in Kokang SAZ.",Kokang,Shan,Laukkaing,Kokang,
,,"Floods and landslides temporarily displace 1.7 million people mostly in Chin and Rakhine states,and Magway and Sagaing regions",Chin,Chin,,,
,,"Floods and landslides temporarily displace 1.7 million people mostly in Chin and Rakhine states,and Magway and Sagaing regions",Rakhine,Rakhine,,,
,,"Floods and landslides temporarily displace 1.7 million people mostly in Chin and Rakhine states,and Magway and Sagaing regions",Magway,Magway,,,
,,"Floods and landslides temporarily displace 1.7 million people mostly in Chin and Rakhine states,and Magway and Sagaing regions",Sagaing,Sagaing,,,
,,"In a more recent development, fighting between Myanmar Army troops and the Arakan Army in March-April 2016 displaced approximately 1,900 people in Buthidaung, Rathedaung and Kyaktaw townships. ",Buthidaung,Rakhine,Maungdaw,Buthidaung,
,,"In a more recent development, fighting between Myanmar Army troops and the Arakan Army in March-April 2016 displaced approximately 1,900 people in Buthidaung, Rathedaung and Kyaktaw townships. ",Rathedaung,Rakhine,Sittwe,Rathedaung,
,,"In a more recent development, fighting between Myanmar Army troops and the Arakan Army in March-April 2016 displaced approximately 1,900 people in Buthidaung, Rathedaung and Kyaktaw townships. ",Kyaktaw,Rakhine,Mrauk- U,Kyauktaw,
,,"This was reflected in the results of a Multi-Sector Assessment of socio-economic conditions in Mrauk-U, Minbya and Kyauktaw townships carried out by the Early Recovery Network in March 2016. ",Mrauk-U,Rakhine,Mrauk- U,,
,,"This was reflected in the results of a Multi-Sector Assessment of socio-economic conditions in Mrauk-U, Minbya and Kyauktaw townships carried out by the Early Recovery Network in March 2016. ",Minbya,Rakhine,Mrauk- U,Minbya,
,,"This was reflected in the results of a Multi-Sector Assessment of socio-economic conditions in Mrauk-U, Minbya and Kyauktaw townships carried out by the Early Recovery Network in March 2016. ",Kyauktaw,Rakhine,Mrauk- U,Kyauktaw,
,,"In Maungdaw and Buthidaung townships, the Muslim population’s access to State schools, hospitals, markets and livelihoods opportunities is constrained by extortions and local orders that impose limitations on their rights and require them to obtain travel permits even for travel within the township. ",Maungdaw,Rakhine,Maungdaw,Maungdaws,
,,"In Maungdaw and Buthidaung townships, the Muslim population’s access to State schools, hospitals, markets and livelihoods opportunities is constrained by extortions and local orders that impose limitations on their rights and require them to obtain travel permits even for travel within the township. ",Buthidaung,Rakhine,Maungdaw,Buthidaung,
,," The townships of Kyauktaw, Mrauk-U and Minbya govern 96 Sub-Rural Health Centers, 20 Rural Health Centers, six Station Hospitals and three
Township Hospitals, and yet from all of these facilities, only one Station Hospital is open to Muslim patients. ",Mrauk-U,Rakhine,Mrauk- U,,
,," The townships of Kyauktaw, Mrauk-U and Minbya govern 96 Sub-Rural Health Centers, 20 Rural Health Centers, six Station Hospitals and three
Township Hospitals, and yet from all of these facilities, only one Station Hospital is open to Muslim patients. ",Kyauktaw,Rakhine,Mrauk- U,Kyauktaw,
,," The townships of Kyauktaw, Mrauk-U and Minbya govern 96 Sub-Rural Health Centers, 20 Rural Health Centers, six Station Hospitals and three
Township Hospitals, and yet from all of these facilities, only one Station Hospital is open to Muslim patients. ",Minbya,Rakhine,Mrauk- U,Minbya,
,,The new restrictions on access are coming at a time of heightened tensions and increased fighting in Kachin and Shan.,Kachin,Kachin,,,
,,The new restrictions on access are coming at a time of heightened tensions and increased fighting in Kachin and Shan.,Shan,Shan,,,
,,"As of July 2016, the Relief and Resettlement Department in Lashio reports that nearly 42,000 people had returned.",Lashio,Shan,Lashio,Lashio,
,,"Meanwhile, humanitarian partners are concerned about the construction of 1,000 houses in a
relocation site between Tar Shwe Htan and Laukkai to relocate approximately 8,000 people from 18 villages in Shwe Yin See village tract which lies along the mountainous border between Myanmar and China.",Tar Shwe Htan,Shan ,Laukkaing,Tar Shwe Htan,
,,"Meanwhile, humanitarian partners are concerned about the construction of 1,000 houses in a
relocation site between Tar Shwe Htan and Laukkai to relocate approximately 8,000 people from 18 villages in Shwe Yin See village tract which lies along the mountainous border between Myanmar and China.",Laukkai,Shan,Laukkaing,,
,,"Meanwhile, humanitarian partners are concerned about the construction of 1,000 houses in a
relocation site between Tar Shwe Htan and Laukkai to relocate approximately 8,000 people from 18 villages in Shwe Yin See village tract which lies along the mountainous border between Myanmar and China.",Shwe Yin See,Shan,Laukkaing,Shwe Yin See,
,,"As a result of clashes between the Myanmar Army/ Border Guard Force and a splinter group of the Democratic Karen Buddhist Army (DKBA), a few thousand people were evacuated by the Myanmar Army/Border Guard Force to Maung Gyi Nu village in Hlaingbwe, Kayin State, in September 2016.",Maung Gyi Nu ,Rakhine,Maungdaw,Maung Nu,
,,"As a result of clashes between the Myanmar Army/ Border Guard Force and a splinter group of the Democratic Karen Buddhist Army (DKBA), a few thousand people were evacuated by the Myanmar Army/Border Guard Force to Maung Gyi Nu village in Hlaingbwe, Kayin State, in September 2016.",Hlaingbwe,Kayin,Hpa-An,Hlaingbwe,
,,"As a result of clashes between the Myanmar Army/ Border Guard Force and a splinter group of the Democratic Karen Buddhist Army (DKBA), a few thousand people were evacuated by the Myanmar Army/Border Guard Force to Maung Gyi Nu village in Hlaingbwe, Kayin State, in September 2016.",Kayin,Kayin,,,
,,"Strong winds, heavy rains and hail storms in April affected around 40 townships across Chin, Kachin, Mandalay, Rakhine, Sagaing and Shan. From February to June 2016, Myanmar also experienced the effects of El Niño including extreme
temperatures, unusual rainfall patterns, dry soil, high risk of fires and acute water shortages. ",Chin,Chin,,,
,,"Strong winds, heavy rains and hail storms in April affected around 40 townships across Chin, Kachin, Mandalay, Rakhine, Sagaing and Shan. From February to June 2016, Myanmar also experienced the effects of El Niño including extreme
temperatures, unusual rainfall patterns, dry soil, high risk of fires and acute water shortages. ",Kachin,Kachin,,,
